Date,Dealer Code,Daily Sales ($),Prior MTD ($),Current MTD ($),YoY MTD ($),YoY MTD (%)
2024-01-26,D014,3938,54899,58837,57831,1.74
2024-01-28,D014,5125,94247,99372,94819,4.8
2024-02-13,D014,3143,94896,98039,96611,1.48
2024-02-13,D014,6162,92811,98973,98432,0.55
2024-02-15,D014,6746,61548,68294,64371,6.09
2024-02-18,D014,3100,72259,75359,74088,1.72
2024-02-19,D014,4945,80279,85224,82012,3.92
2024-02-21,D014,5541,86378,91919,93227,-1.4
2024-02-22,D014,5801,54581,60382,59667,1.2
2024-02-25,D014,4253,89963,94216,95361,-1.2
2024-03-02,D014,3131,66984,70115,67247,4.26
2024-03-03,D014,3508,60531,64039,63877,0.25
2024-03-05,D014,6413,90225,96638,97023,-0.4
2024-03-05,D014,3613,64274,67887,70019,-3.04
2024-03-09,D014,5165,50887,56052,51826,8.15
2024-03-11,D014,5773,78082,83855,81159,3.32
2024-03-13,D014,3101,92589,95690,92990,2.9
2024-03-15,D014,4065,91381,95446,95563,-0.12
2024-03-18,D014,6243,66672,72915,70251,3.79
2024-03-21,D014,3273,58050,61323,60294,1.71
2024-03-24,D014,6214,85167,91381,89741,1.83
2024-03-25,D014,4053,90660,94713,93569,1.22
2024-03-30,D014,3687,97124,100811,99150,1.68
2024-04-02,D014,5835,57860,63695,59169,7.65
2024-04-04,D014,3309,72523,75832,77258,-1.85
2024-04-09,D014,4673,90854,95527,94845,0.72
2024-04-14,D014,6389,96882,103271,100902,2.35
2024-04-14,D014,5216,62504,67720,70343,-3.73
2024-04-17,D014,5840,65762,71602,71492,0.15
2024-04-20,D014,6051,83194,89245,85099,4.87
2024-04-23,D014,5497,79473,84970,83904,1.27
2024-04-27,D014,4737,59096,63833,63279,0.88
2024-04-29,D014,6965,88454,95419,97369,-2
2024-05-02,D014,3594,88046,91640,89027,2.94
2024-05-03,D014,6032,61889,67921,68084,-0.24
2024-05-06,D014,5895,96435,102330,100795,1.52
2024-05-07,D014,4454,62612,67066,65529,2.35
2024-05-09,D014,3968,97614,101582,103266,-1.63
2024-05-11,D014,4877,77378,82255,82769,-0.62
2024-05-11,D014,5838,59065,64903,67820,-4.3
2024-05-27,D014,3600,68409,72009,73425,-1.93
2024-05-28,D014,5670,78688,84358,80301,5.05
2024-06-02,D014,4244,52416,56660,52559,7.8
2024-06-06,D014,3976,92399,96375,96322,0.06
2024-06-06,D014,3065,56092,59157,59251,-0.16
2024-06-09,D014,5118,50663,55781,53717,3.84
2024-06-12,D014,4443,96926,101369,102826,-1.42
2024-06-20,D014,5133,75433,80566,78261,2.95
2024-06-24,D014,5172,97501,102673,99399,3.29
2024-06-28,D014,5424,94835,100259,100436,-0.18
2024-07-05,D014,5292,84269,89561,88157,1.59
2024-07-13,D014,4420,86145,90565,86064,5.23
2024-07-17,D014,3390,72152,75542,75724,-0.24
2024-07-20,D014,5254,50414,55668,56400,-1.3
2024-07-21,D014,3287,78554,81841,78509,4.24
2024-07-21,D014,4052,83481,87533,83273,5.12
2024-07-23,D014,6048,79402,85450,84098,1.61
2024-07-24,D014,4222,96998,101220,100978,0.24
2024-07-24,D014,5840,64051,69891,69944,-0.08
2024-08-02,D014,6474,74703,81177,78236,3.76
2024-08-02,D014,4275,51016,55291,50422,9.66
2024-08-04,D014,3910,63313,67223,68664,-2.1
2024-08-07,D014,5327,82391,87718,90101,-2.64
2024-08-08,D014,6223,89534,95757,93455,2.46
2024-08-14,D014,4259,59083,63342,60768,4.24
2024-08-16,D014,5044,60837,65881,65165,1.1
2024-08-19,D014,6332,99855,106187,102119,3.98
2024-08-19,D014,6491,53513,60004,62509,-4.01
2024-08-24,D014,5332,83097,88429,89332,-1.01
2024-08-26,D014,5045,53907,58952,61145,-3.59
2024-08-29,D014,5041,61016,66057,61544,7.33
2024-09-07,D014,3878,65935,69813,65347,6.83
2024-09-12,D014,5840,65663,71503,67527,5.89
2024-09-13,D014,4232,78952,83184,81646,1.88
2024-09-14,D014,6695,50716,57411,54753,4.85
2024-09-16,D014,4264,70108,74372,74585,-0.29
2024-09-16,D014,3413,84782,88195,89814,-1.8
2024-09-22,D014,6723,50363,57086,57920,-1.44
2024-09-23,D014,6740,83953,90693,90408,0.32
2024-10-01,D014,3205,57207,60412,60068,0.57
2024-10-02,D014,3891,58204,62095,59973,3.54
2024-10-03,D014,3815,53987,57802,59275,-2.49
2024-10-05,D014,5429,93020,98449,97051,1.44
2024-10-10,D014,4153,97992,102145,103055,-0.88
2024-10-13,D014,4585,63500,68085,67717,0.54
2024-10-16,D014,3047,85132,88179,88923,-0.84
2024-10-18,D014,4745,97598,102343,101911,0.42
2024-10-20,D014,3551,71950,75501,75604,-0.14
2024-10-23,D014,5385,59522,64907,60312,7.62
2024-10-25,D014,5713,86953,92666,94309,-1.74
2024-11-05,D014,3558,89181,92739,87749,5.69
2024-11-10,D014,3594,63105,66699,64968,2.66
2024-11-15,D014,6055,88598,94653,90130,5.02
2024-11-15,D014,3039,64394,67433,63339,6.46
2024-11-15,D014,4573,51828,56401,57484,-1.88
2024-11-17,D014,3806,86080,89886,87749,2.44
2024-11-17,D014,4717,95516,100233,96383,3.99
2024-11-20,D014,6217,71560,77777,80055,-2.85
2024-12-01,D014,4381,75721,80102,79587,0.65
2024-12-07,D014,4821,64847,69668,66353,5
2024-12-07,D014,3116,88553,91669,88162,3.98
2024-12-08,D014,3161,52747,55908,51637,8.27
2024-12-12,D014,5293,84813,90106,92069,-2.13
2024-12-22,D014,6144,81559,87703,87465,0.27
2024-12-24,D014,5842,50206,56048,53914,3.96
2024-01-05,D015,6530,61593,68123,63136,7.9
2024-01-13,D015,3629,57407,61036,63262,-3.52
2024-01-14,D015,5345,57147,62492,57861,8
2024-01-16,D015,4537,77293,81830,77633,5.41
2024-01-19,D015,3574,74042,77616,73722,5.28
2024-01-20,D015,4983,95276,100259,102625,-2.31
2024-01-22,D015,4053,68691,72744,74516,-2.38
2024-01-26,D015,3565,94713,98278,100884,-2.58
2024-02-02,D015,3061,78900,81961,79027,3.71
2024-02-03,D015,6653,99648,106301,108797,-2.29
2024-02-04,D015,6589,55515,62104,62434,-0.53
2024-02-05,D015,4523,90821,95344,97357,-2.07
2024-02-06,D015,4721,74829,79550,80174,-0.78
2024-02-06,D015,3140,92727,95867,94124,1.85
2024-02-07,D015,5375,71754,77129,76157,1.28
2024-02-10,D015,4793,87822,92615,91747,0.95
2024-02-12,D015,3864,84036,87900,83446,5.34
2024-02-17,D015,6480,76531,83011,80756,2.79
2024-02-18,D015,3543,86668,90211,89458,0.84
2024-02-18,D015,4827,82125,86952,82973,4.8
2024-02-19,D015,6046,94518,100564,99053,1.53
2024-02-26,D015,3768,96235,100003,101355,-1.33
2024-03-04,D015,4472,56255,60727,63489,-4.35
2024-03-07,D015,4558,64012,68570,69449,-1.27
2024-03-07,D015,4878,85228,90106,92561,-2.65
2024-03-10,D015,5863,85854,91717,92947,-1.32
2024-03-18,D015,5706,54477,60183,58305,3.22
2024-03-21,D015,5804,83637,89441,86915,2.91
2024-03-24,D015,6970,76616,83586,80659,3.63
2024-03-26,D015,3762,91349,95111,92812,2.48
2024-04-01,D015,6425,63121,69546,66627,4.38
2024-04-01,D015,6601,74417,81018,83956,-3.5
2024-04-08,D015,4265,95213,99478,95725,3.92
2024-04-12,D015,3283,91476,94759,95094,-0.35
2024-04-16,D015,6217,80820,87037,85062,2.32
2024-04-19,D015,4036,67290,71326,68827,3.63
2024-04-23,D015,3896,84314,88210,88084,0.14
2024-04-26,D015,3279,74281,77560,73218,5.93
2024-04-26,D015,6590,54232,60822,60892,-0.11
2024-05-04,D015,4696,84902,89598,88706,1.01
2024-05-07,D015,4218,67601,71819,72588,-1.06
2024-05-08,D015,3822,85842,89664,87595,2.36
2024-05-11,D015,3929,69396,73325,71301,2.84
2024-05-20,D015,3582,95192,98774,100771,-1.98
2024-05-22,D015,5747,75439,81186,78214,3.8
2024-05-29,D015,6944,96390,103334,101242,2.07
2024-06-01,D015,5781,61536,67317,66352,1.45
2024-06-11,D015,5625,70609,76234,76256,-0.03
2024-06-13,D015,6154,54090,60244,58938,2.22
2024-06-14,D015,5446,58412,63858,63192,1.05
2024-06-15,D015,4248,51600,55848,53148,5.08
2024-06-17,D015,5857,89091,94948,92201,2.98
2024-06-22,D015,5548,73804,79352,77872,1.9
2024-06-25,D015,6369,58598,64967,64588,0.59
2024-06-26,D015,4990,87450,92440,89193,3.64
2024-07-04,D015,3173,62211,65384,66743,-2.04
2024-07-10,D015,4410,62665,67075,63351,5.88
2024-07-11,D015,5709,71605,77314,75909,1.85
2024-07-12,D015,6014,55166,61180,57059,7.22
2024-07-15,D015,3898,94324,98222,94786,3.63
2024-07-23,D015,6967,68975,75942,77469,-1.97
2024-07-30,D015,4543,77915,82458,82750,-0.35
2024-08-07,D015,5163,61064,66227,66107,0.18
2024-08-07,D015,4526,90677,95203,96234,-1.07
2024-08-11,D015,3517,74811,78328,77830,0.64
2024-08-13,D015,6031,85680,91711,87439,4.89
2024-08-15,D015,5679,92007,97686,96052,1.7
2024-08-18,D015,6688,53748,60436,57094,5.85
2024-08-19,D015,6815,91201,98016,96219,1.87
2024-08-21,D015,5071,85865,90936,92532,-1.72
2024-08-21,D015,5622,92691,98313,101287,-2.94
2024-08-22,D015,4354,67950,72304,72909,-0.83
2024-08-23,D015,5381,75464,80845,76329,5.92
2024-08-24,D015,6097,59336,65433,61784,5.91
2024-08-29,D015,5675,85948,91623,90307,1.46
2024-08-31,D015,4684,81889,86573,87048,-0.55
2024-09-04,D015,4195,51753,55948,57276,-2.32
2024-09-09,D015,5828,85618,91446,89339,2.36
2024-09-11,D015,6424,75976,82400,79628,3.48
2024-09-15,D015,3810,61586,65396,67317,-2.85
2024-09-19,D015,4529,92768,97297,93642,3.9
2024-09-22,D015,6732,73798,80530,78157,3.04
2024-09-23,D015,5713,96121,101834,100328,1.5
2024-09-24,D015,4319,51141,55460,53833,3.02
2024-09-24,D015,5173,75992,81165,79308,2.34
2024-09-25,D015,4019,94225,98244,99841,-1.6
2024-09-25,D015,6483,60912,67395,64657,4.23
2024-09-27,D015,5808,86833,92641,89743,3.23
2024-10-01,D015,4301,93319,97620,92924,5.05
2024-10-14,D015,5299,77912,83211,79797,4.28
2024-10-15,D015,4176,74340,78516,81116,-3.21
2024-10-16,D015,5467,74914,80381,80557,-0.22
2024-10-18,D015,3573,80848,84421,82315,2.56
2024-10-26,D015,4645,60435,65080,63568,2.38
2024-10-27,D015,4222,70967,75189,70916,6.03
2024-10-29,D015,3638,50055,53693,51872,3.51
2024-10-30,D015,6743,80924,87667,88663,-1.12
2024-11-02,D015,4797,94122,98919,100187,-1.27
2024-11-11,D015,3350,97657,101007,101983,-0.96
2024-11-14,D015,6041,65791,71832,71357,0.67
2024-11-23,D015,5258,90927,96185,97112,-0.95
2024-11-28,D015,6148,69743,75891,77887,-2.56
2024-11-28,D015,6433,70653,77086,72317,6.59
2024-12-01,D015,5640,68945,74585,74336,0.33
2024-12-01,D015,6610,71577,78187,79973,-2.23
2024-12-01,D015,5186,66630,71816,71597,0.31
2024-12-02,D015,4503,68653,73156,70881,3.21
2024-12-04,D015,3071,82161,85232,84263,1.15
2024-12-09,D015,3148,95638,98786,101666,-2.83
2024-12-11,D015,5098,82471,87569,84250,3.94
2024-12-11,D015,5990,51195,57185,55626,2.8
2024-12-19,D015,4257,94350,98607,94421,4.43
2024-12-20,D015,6205,58669,64874,61098,6.18
2024-12-22,D015,5574,70209,75783,74190,2.15
2024-12-27,D015,3759,51798,55557,53398,4.04
2024-01-02,D016,5805,83489,89294,84616,5.53
2024-01-03,D016,3214,94938,98152,100017,-1.86
2024-01-07,D016,3947,90461,94408,97336,-3.01
2024-01-12,D016,3656,96479,100135,101204,-1.06
2024-01-12,D016,5850,78400,84250,85182,-1.09
2024-01-12,D016,4353,60975,65328,65497,-0.26
2024-01-20,D016,6647,71792,78439,79823,-1.73
2024-01-20,D016,6916,69755,76671,77198,-0.68
2024-01-22,D016,3996,51607,55603,52668,5.57
2024-01-22,D016,3212,74885,78097,78389,-0.37
2024-01-25,D016,6893,89579,96472,98376,-1.94
2024-02-10,D016,5079,62861,67940,70274,-3.32
2024-02-11,D016,3464,55741,59205,61928,-4.4
2024-02-12,D016,6539,60558,67097,62438,7.46
2024-02-15,D016,4813,94223,99036,100493,-1.45
2024-02-19,D016,5930,99151,105081,105878,-0.75
2024-02-21,D016,6726,85757,92483,88421,4.59
2024-02-28,D016,5000,80962,85962,82893,3.7
2024-03-02,D016,5928,59885,65813,66498,-1.03
2024-03-03,D016,6838,90843,97681,99105,-1.44
2024-03-07,D016,4516,68161,72677,70615,2.92
2024-03-13,D016,5014,69856,74870,74228,0.86
2024-03-14,D016,3010,98926,101936,101097,0.83
2024-03-17,D016,5515,72706,78221,78529,-0.39
2024-03-20,D016,5181,52260,57441,57494,-0.09
2024-03-23,D016,6498,59140,65638,61840,6.14
2024-03-26,D016,3319,96111,99430,102095,-2.61
2024-04-02,D016,4801,61083,65884,63927,3.06
2024-04-03,D016,3737,59280,63017,61834,1.91
2024-04-04,D016,4883,52886,57769,60292,-4.18
2024-04-05,D016,6068,56855,62923,63629,-1.11
2024-04-15,D016,5493,73197,78690,81058,-2.92
2024-04-24,D016,5754,74918,80672,80943,-0.33
2024-05-01,D016,4253,92042,96295,97152,-0.88
2024-05-04,D016,6817,72076,78893,79539,-0.81
2024-05-05,D016,6373,77597,83970,83778,0.23
2024-05-06,D016,3884,53051,56935,54613,4.25
2024-05-14,D016,4867,68953,73820,74192,-0.5
2024-05-20,D016,5521,71534,77055,79172,-2.67
2024-05-31,D016,4515,64179,68694,71655,-4.13
2024-06-01,D016,6175,88015,94190,95456,-1.33
2024-06-12,D016,3480,76707,80187,82087,-2.31
2024-06-13,D016,3181,71389,74570,70692,5.49
2024-06-16,D016,5139,97456,102595,98881,3.76
2024-06-17,D016,3160,88467,91627,87683,4.5
2024-06-21,D016,6574,86087,92661,94255,-1.69
2024-06-27,D016,5550,79466,85016,86430,-1.64
2024-07-04,D016,4078,56643,60721,60774,-0.09
2024-07-06,D016,6695,60691,67386,63830,5.57
2024-07-06,D016,3670,87960,91630,88008,4.12
2024-07-07,D016,3703,59662,63365,65785,-3.68
2024-07-08,D016,5931,99570,105501,104720,0.75
2024-07-10,D016,5367,70157,75524,75897,-0.49
2024-07-17,D016,4574,98784,103358,100682,2.66
2024-07-17,D016,3400,62182,65582,62669,4.65
2024-07-18,D016,6228,54582,60810,58855,3.32
2024-07-22,D016,5241,61944,67185,66450,1.11
2024-07-31,D016,5881,98015,103896,104556,-0.63
2024-08-02,D016,6754,93262,100016,97510,2.57
2024-08-05,D016,5521,85247,90768,87284,3.99
2024-08-07,D016,4935,63699,68634,67110,2.27
2024-08-08,D016,6080,84592,90672,91181,-0.56
2024-08-13,D016,3220,96994,100214,97176,3.13
2024-08-18,D016,4262,87116,91378,92374,-1.08
2024-08-23,D016,5919,51462,57381,54860,4.6
2024-08-24,D016,6605,70947,77552,73655,5.29
2024-08-25,D016,6485,85315,91800,91636,0.18
2024-08-29,D016,5893,75825,81718,82190,-0.57
2024-08-31,D016,4550,89137,93687,90079,4.01
2024-09-02,D016,4199,70460,74659,70888,5.32
2024-09-02,D016,5780,74762,80542,81745,-1.47
2024-09-03,D016,4271,85658,89929,90172,-0.27
2024-09-03,D016,5305,79168,84473,86578,-2.43
2024-09-12,D016,3017,68836,71853,72007,-0.21
2024-09-13,D016,6727,96500,103227,105969,-2.59
2024-09-18,D016,3952,63675,67627,66041,2.4
2024-09-19,D016,6634,67472,74106,70698,4.82
2024-09-21,D016,4774,73814,78588,80167,-1.97
2024-09-25,D016,3369,67019,70388,68163,3.26
2024-09-27,D016,6824,83307,90131,90349,-0.24
2024-09-30,D016,3688,65185,68873,71041,-3.05
2024-10-02,D016,5346,66555,71901,70759,1.61
2024-10-05,D016,6718,78185,84903,83968,1.11
2024-10-15,D016,3962,89051,93013,94037,-1.09
2024-10-23,D016,3985,66128,70113,72747,-3.62
2024-11-01,D016,5681,85967,91648,87880,4.29
2024-11-03,D016,5588,93151,98739,99104,-0.37
2024-11-04,D016,3560,51187,54747,54614,0.24
2024-11-05,D016,4109,80811,84920,80093,6.03
2024-11-08,D016,5942,96364,102306,101996,0.3
2024-11-09,D016,6246,61443,67689,64638,4.72
2024-11-10,D016,6309,82627,88936,89219,-0.32
2024-11-13,D016,4770,68950,73720,75745,-2.67
2024-11-29,D016,6996,53225,60221,59603,1.04
2024-12-11,D016,3623,91976,95599,94956,0.68
2024-12-15,D016,5030,57082,62112,64156,-3.19
2024-12-16,D016,6981,55798,62779,64344,-2.43
2024-12-18,D016,4419,55409,59828,61350,-2.48
2024-12-22,D016,5966,98302,104268,103540,0.7
2024-12-23,D016,6259,89233,95492,93947,1.64
2024-01-08,D017,4466,97020,101486,103948,-2.37
2024-01-14,D017,4656,69873,74529,69925,6.58
2024-01-14,D017,3919,90888,94807,92894,2.06
2024-01-17,D017,5037,58848,63885,66720,-4.25
2024-01-19,D017,5778,78997,84775,86781,-2.31
2024-01-24,D017,6699,97766,104465,101496,2.93
2024-01-26,D017,6480,77724,84204,81156,3.76
2024-01-28,D017,3219,50405,53624,54987,-2.48
2024-02-05,D017,4090,97985,102075,103385,-1.27
2024-02-11,D017,6438,96971,103409,99481,3.95
2024-02-21,D017,6717,99476,106193,104106,2
2024-02-28,D017,4113,57659,61772,61502,0.44
2024-03-01,D017,6579,66506,73085,70469,3.71
2024-03-11,D017,3155,85429,88584,84404,4.95
2024-03-12,D017,6860,76589,83449,81010,3.01
2024-03-13,D017,6085,82924,89009,91275,-2.48
2024-03-14,D017,6298,54470,60768,58149,4.5
2024-03-18,D017,3428,56509,59937,55244,8.5
2024-03-27,D017,6213,68748,74961,72131,3.92
2024-03-29,D017,4197,78223,82420,80182,2.79
2024-03-29,D017,5533,85165,90698,86447,4.92
2024-03-30,D017,4987,62598,67585,70029,-3.49
2024-04-02,D017,6380,58711,65091,67501,-3.57
2024-04-06,D017,5121,96270,101391,100313,1.07
2024-04-06,D017,4811,81885,86696,84811,2.22
2024-04-07,D017,3965,62485,66450,66793,-0.51
2024-04-08,D017,6835,84919,91754,93517,-1.89
2024-04-16,D017,4481,54081,58562,55108,6.27
2024-04-18,D017,6807,89919,96726,98425,-1.73
2024-04-20,D017,6909,58015,64924,64504,0.65
2024-04-25,D017,4513,54876,59389,60938,-2.54
2024-04-25,D017,3142,79896,83038,78691,5.52
2024-04-28,D017,6453,89857,96310,95703,0.63
2024-05-07,D017,5387,79299,84686,81104,4.42
2024-05-09,D017,5712,53084,58796,56043,4.91
2024-05-17,D017,6504,85285,91789,92392,-0.65
2024-05-20,D017,4331,54539,58870,55231,6.59
2024-05-24,D017,3962,93965,97927,97121,0.83
2024-05-26,D017,3665,88635,92300,88337,4.49
2024-05-31,D017,6644,83340,89984,85463,5.29
2024-05-31,D017,6229,60892,67121,67116,0.01
2024-06-02,D017,4144,55243,59387,62238,-4.58
2024-06-04,D017,5834,75370,81204,81725,-0.64
2024-06-07,D017,3782,78792,82574,84809,-2.64
2024-06-13,D017,5925,79989,85914,87372,-1.67
2024-06-16,D017,4189,63908,68097,65021,4.73
2024-06-19,D017,6608,82130,88738,84364,5.18
2024-06-20,D017,4801,57699,62500,62871,-0.59
2024-06-26,D017,6085,91205,97290,96204,1.13
2024-06-27,D017,3223,88157,91380,90307,1.19
2024-06-27,D017,4599,80204,84803,86648,-2.13
2024-07-10,D017,3729,85029,88758,89137,-0.43
2024-07-10,D017,3761,85953,89714,92689,-3.21
2024-07-11,D017,3548,61640,65188,66327,-1.72
2024-07-11,D017,4004,75052,79056,76815,2.92
2024-07-14,D017,5374,83085,88459,84507,4.68
2024-07-19,D017,6832,98738,105570,103655,1.85
2024-07-19,D017,3928,85547,89475,85580,4.55
2024-07-20,D017,4345,94746,99091,101556,-2.43
2024-07-26,D017,4319,65398,69717,72430,-3.75
2024-07-28,D017,5163,60774,65937,61672,6.92
2024-07-28,D017,6056,67576,73632,72207,1.97
2024-08-02,D017,4508,52421,56929,52810,7.8
2024-08-11,D017,4009,60931,64940,60238,7.81
2024-08-13,D017,4702,98710,103412,105539,-2.02
2024-08-15,D017,5960,55773,61733,60139,2.65
2024-08-16,D017,6647,80554,87201,83713,4.17
2024-08-19,D017,5475,79114,84589,81559,3.72
2024-08-20,D017,4693,83204,87897,88069,-0.2
2024-08-23,D017,5732,70637,76369,75102,1.69
2024-08-23,D017,6511,82347,88858,90870,-2.21
2024-08-26,D017,6294,89542,95836,91868,4.32
2024-08-28,D017,3855,94985,98840,95253,3.77
2024-08-29,D017,4567,97878,102445,97555,5.01
2024-08-31,D017,3326,83754,87080,86962,0.14
2024-09-15,D017,3865,83368,87233,82429,5.83
2024-09-24,D017,6199,91797,97996,98034,-0.04
2024-09-27,D017,3803,87083,90886,87728,3.6
2024-09-28,D017,3142,74162,77304,74296,4.05
2024-09-30,D017,3789,50594,54383,51182,6.25
2024-10-09,D017,5990,74833,80823,83249,-2.91
2024-10-12,D017,3870,78684,82554,78803,4.76
2024-10-17,D017,5401,59686,65087,62170,4.69
2024-10-17,D017,6071,72025,78096,78169,-0.09
2024-10-18,D017,6028,75095,81123,78167,3.78
2024-11-01,D017,5075,94291,99366,94665,4.97
2024-11-03,D017,3653,65993,69646,66218,5.18
2024-11-11,D017,4520,57975,62495,62727,-0.37
2024-11-17,D017,6015,66457,72472,71626,1.18
2024-11-19,D017,4583,72963,77546,75316,2.96
2024-11-22,D017,3216,51324,54540,56385,-3.27
2024-11-25,D017,3369,68485,71854,70069,2.55
2024-11-25,D017,3865,83541,87406,85919,1.73
2024-11-26,D017,5973,92856,98829,100320,-1.49
2024-11-29,D017,5331,95530,100861,98688,2.2
2024-12-02,D017,3880,65072,68952,68017,1.37
2024-12-05,D017,6031,86932,92963,93370,-0.44
2024-12-07,D017,4828,98979,103807,106504,-2.53
2024-12-08,D017,3855,81186,85041,81317,4.58
2024-12-13,D017,4765,95180,99945,101132,-1.17
2024-12-16,D017,4451,98356,102807,104018,-1.16
2024-12-20,D017,5532,74255,79787,82744,-3.57
2024-12-30,D017,6648,55445,62093,62465,-0.6
2024-01-05,D018,3915,73165,77080,72326,6.57
2024-01-06,D018,4857,51607,56464,51690,9.24
2024-01-10,D018,4129,84470,88599,89598,-1.11
2024-01-31,D018,6819,53055,59874,56398,6.16
2024-02-04,D018,5160,68318,73478,71424,2.88
2024-02-06,D018,4817,72754,77571,76156,1.86
2024-02-07,D018,4978,89422,94400,94960,-0.59
2024-02-13,D018,6777,53841,60618,56520,7.25
2024-02-16,D018,5024,58924,63948,64202,-0.4
2024-02-19,D018,4230,73091,77321,73324,5.45
2024-02-23,D018,5799,78525,84324,83217,1.33
2024-02-25,D018,6258,85585,91843,94399,-2.71
2024-02-26,D018,5744,87834,93578,88845,5.33
2024-03-03,D018,4656,62278,66934,69709,-3.98
2024-03-04,D018,4913,66289,71202,67492,5.5
2024-03-06,D018,5038,82113,87151,85881,1.48
2024-03-07,D018,3009,86912,89921,87315,2.98
2024-03-10,D018,4361,83359,87720,90194,-2.74
2024-03-13,D018,3928,51951,55879,51011,9.54
2024-03-16,D018,3438,78379,81817,78838,3.78
2024-03-17,D018,4594,56372,60966,62340,-2.2
2024-03-18,D018,6639,52105,58744,60191,-2.4
2024-03-18,D018,5700,55063,60763,60130,1.05
2024-03-18,D018,5761,93309,99070,100138,-1.07
2024-03-20,D018,3129,95331,98460,98501,-0.04
2024-03-20,D018,6763,77407,84170,81974,2.68
2024-03-24,D018,4053,66960,71013,70918,0.13
2024-03-27,D018,4025,52251,56276,54519,3.22
2024-03-31,D018,6925,58463,65388,67360,-2.93
2024-04-01,D018,4970,72190,77160,74018,4.24
2024-04-03,D018,3661,63045,66706,65322,2.12
2024-04-04,D018,6837,88244,95081,92420,2.88
2024-04-05,D018,4687,73190,77877,73520,5.93
2024-04-08,D018,3915,53598,57513,58141,-1.08
2024-04-12,D018,4296,74077,78373,80191,-2.27
2024-04-15,D018,4294,88862,93156,89182,4.46
2024-04-16,D018,4134,73828,77962,79725,-2.21
2024-04-16,D018,4894,52669,57563,60288,-4.52
2024-04-17,D018,4210,61226,65436,68208,-4.06
2024-04-19,D018,6837,56727,63564,62600,1.54
2024-04-20,D018,6841,86444,93285,93713,-0.46
2024-04-24,D018,6808,71125,77933,73515,6.01
2024-04-24,D018,4963,53307,58270,59909,-2.74
2024-04-29,D018,5112,74346,79458,76948,3.26
2024-05-02,D018,4728,75022,79750,80092,-0.43
2024-05-18,D018,4621,62282,66903,63204,5.85
2024-05-28,D018,3738,52773,56511,54544,3.61
2024-05-28,D018,4607,61755,66362,62207,6.68
2024-05-30,D018,4619,71637,76256,73828,3.29
2024-06-02,D018,5700,86665,92365,91124,1.36
2024-06-03,D018,4590,89605,94195,91354,3.11
2024-06-03,D018,6982,73035,80017,80607,-0.73
2024-06-08,D018,6831,98330,105161,106990,-1.71
2024-06-12,D018,6040,92422,98462,95077,3.56
2024-06-17,D018,3709,68330,72039,68924,4.52
2024-06-17,D018,3913,84881,88794,90750,-2.16
2024-06-19,D018,6851,82977,89828,87845,2.26
2024-06-19,D018,6138,76224,82362,78919,4.36
2024-06-21,D018,3115,54956,58071,59068,-1.69
2024-06-29,D018,6202,97553,103755,100643,3.09
2024-06-29,D018,5546,69775,75321,74143,1.59
2024-06-30,D018,4376,86230,90606,86324,4.96
2024-06-30,D018,3498,52809,56307,54346,3.61
2024-07-15,D018,3018,99793,102811,102728,0.08
2024-07-24,D018,4811,98895,103706,102345,1.33
2024-07-25,D018,4169,71655,75824,77010,-1.54
2024-07-27,D018,5256,73996,79252,78210,1.33
2024-08-05,D018,4579,50161,54740,53443,2.43
2024-08-06,D018,4141,91552,95693,91574,4.5
2024-08-07,D018,5205,59219,64424,61114,5.42
2024-08-18,D018,3799,61023,64822,65315,-0.75
2024-08-19,D018,6298,64056,70354,69550,1.16
2024-08-24,D018,4891,99982,104873,107825,-2.74
2024-08-28,D018,4907,57036,61943,58456,5.97
2024-09-02,D018,5810,74518,80328,82224,-2.31
2024-09-09,D018,6927,56849,63776,63529,0.39
2024-09-11,D018,5651,60006,65657,66916,-1.88
2024-09-13,D018,5637,88258,93895,89553,4.85
2024-09-13,D018,3653,58129,61782,62940,-1.84
2024-09-14,D018,5763,78469,84232,83387,1.01
2024-09-25,D018,3644,94593,98237,94559,3.89
2024-10-01,D018,4094,78562,82656,77761,6.29
2024-10-07,D018,4758,73093,77851,80282,-3.03
2024-10-20,D018,3194,67046,70240,72761,-3.46
2024-10-22,D018,5136,72555,77691,80454,-3.43
2024-10-27,D018,4699,81017,85716,88484,-3.13
2024-10-27,D018,3377,73490,76867,72548,5.95
2024-10-29,D018,3927,70893,74820,71769,4.25
2024-11-01,D018,6341,87567,93908,96222,-2.4
2024-11-02,D018,5031,60273,65304,67553,-3.33
2024-11-06,D018,3261,67826,71087,73682,-3.52
2024-11-07,D018,6478,85424,91902,93781,-2
2024-11-14,D018,5761,79240,85001,86586,-1.83
2024-11-19,D018,5686,90392,96078,98944,-2.9
2024-11-22,D018,5801,82345,88146,85443,3.16
2024-11-23,D018,6195,90928,97123,100011,-2.89
2024-11-26,D018,3426,95541,98967,100136,-1.17
2024-11-28,D018,4743,64536,69279,71833,-3.56
2024-11-28,D018,4266,73827,78093,79620,-1.92
2024-11-29,D018,5190,91908,97098,93911,3.39
2024-12-04,D018,3042,84675,87717,87227,0.56
2024-12-05,D018,3411,84764,88175,83747,5.29
2024-12-10,D018,4442,71699,76141,77016,-1.14
2024-12-28,D018,6995,59131,66126,63348,4.39
2024-12-31,D018,6566,91125,97691,99124,-1.45
